code,mcap
300285,686.97
300286,49.5
300287,51.53
300288,33.83
300289,33.18
300291,47.85
300292,57.29
300293,52.25
300294,75.23
300296,138.85
300298,89.54
300299,37.21
300300,52.08
300302,146.42
300303,101.87
300304,99.14
300305,23.46
300306,28.38
300307,59.88
300308,10040.42
300310,38.62
300311,37.32
300313,36.81
300314,34.16
300315,107.76
300316,571.61
300317,34.62
300318,41.99
300319,185.59
300320,50.8
300321,29.82
300322,81.01
300323,191.68
300324,60.98
300327,82.68
300328,122.83
300329,30.57
300331,123.76
300332,42.47
300333,43.48
300334,24.62
300335,26.71
300337,80.8
300339,285.35
300340,24.82
300341,68.71
300342,137.37
300343,62.5
300345,47.49
300346,384.7
300347,429.22
300348,81.72
300349,42.89
300350,24.95
300351,54.8
300353,114.37
300354,38.23
300355,46.36
300357,119.95
300358,64.72
300359,27.55
300360,59.54
300363,107.33
300364,165.59
300365,28.49
300368,49.61
300369,58.61
300370,35.38
300371,21.03
300373,513.08
300374,27.07
300375,32.25
300376,107.56
300377,113.85
300378,101.7
300380,48.9
300381,29.53
300382,113.99
300383,220.03
300384,38.86
300386,51.0
300387,22.95
300388,48.08
300389,47.13
300390,532.68
300393,68.65
300394,2875.2
300395,472.05
300397,57.04
300398,202.48
300399,37.68
300400,75.92
300401,80.63
300402,37.39
300403,56.8
300404,51.07
300405,16.58
300406,68.75
300407,41.4
300408,2241.12
300409,143.39
300410,29.55
300411,32.44
300412,23.25
300413,264.71
300414,35.05
300415,92.31
300416,73.49
300417,15.37
300418,519.15
300420,90.76
300421,48.46
300422,22.42
300423,28.86
300424,33.82
300425,28.11
300426,28.28
300427,33.16
300428,134.58
300429,64.82
300432,260.57
300433,2018.06
300434,46.12
300435,65.92
300436,146.97
300437,28.37
300438,306.33
300439,35.97
300440,86.66
300441,45.11
300442,1035.83
300443,59.8
300444,74.51
300445,39.89
300446,110.58
300447,43.69
300448,38.09
300449,27.83
300450,559.86
300451,54.53
300452,30.32
300453,50.38
300454,538.97
300455,126.26
300456,295.81
300457,137.75
300458,308.03
300459,126.22
300461,51.4
300463,56.42
300464,36.59
300465,54.58
300466,39.9
300467,70.8
300468,125.07
300469,135.17
300470,58.16
300471,45.89
300473,47.83
300474,266.22
300475,808.08
300476,2374.41
300478,37.28
300479,29.6
300480,114.73
300481,41.76
300482,77.09
300483,97.93
300484,26.41
300485,43.59
300486,88.85
300487,321.73
300488,59.76
300489,325.75
300490,45.81
300491,56.32
300492,66.43
300493,65.6
300494,38.8
300496,260.96
300497,92.43
300498,950.85
300499,94.38
300500,16.51
300501,27.9
300502,5563.08
300503,208.35
300504,48.11
300505,59.1
300506,73.28
300507,52.9
300508,43.23
300509,26.41
300510,28.86
300511,36.66
300512,30.0
300513,23.34
300514,20.46
300515,33.17
300516,82.91
300517,20.78
300518,47.52
300519,23.6
300520,69.01
300521,36.25
300522,44.92
300523,46.18
300525,61.33
300528,47.77
300529,126.98
300530,31.76
300531,53.94
300532,45.19
300533,46.87
300534,45.65
300535,18.26
300536,26.57
300537,41.86
300538,29.43
300539,48.87
300540,64.39
300541,43.05
300542,37.89
300543,24.11
300545,57.21
300546,33.2
300547,56.68
300548,627.64
300549,19.35
300550,30.93
300551,37.95
300552,45.27
300553,47.32
300554,24.28
300556,19.84
300557,42.11
300558,213.99
300559,43.67
300560,42.78
300561,54.83
300562,40.0
300563,44.84
300564,20.1
300565,25.02
300566,73.1
300567,603.13
300568,227.28
300569,48.37
300570,464.02
300571,40.09
300572,50.24
300573,138.95
300575,30.29
300576,120.54
300577,45.95
300578,29.84
300579,62.42
300580,98.81
300581,56.39
300582,35.85
300583,24.6
300584,38.24
300585,29.29
300586,67.92
300587,62.58
300588,40.97
300589,50.65
300590,52.14
300591,31.07
300592,60.68
300593,164.38
300595,98.02
300596,96.21
300597,21.59
300598,72.88
300599,40.5
300600,30.19
300601,145.2
300602,249.24
300603,36.72
300604,1788.97
300605,16.83
300606,50.9
300607,165.13
300608,34.59
300609,30.7
300610,22.38
300611,52.52
300612,21.81
300613,171.99
300614,17.25
300615,28.66
300616,23.87
300617,63.66
300618,109.14
300619,58.7
300620,772.29
300621,15.25
300622,47.31
300623,248.88
300624,91.29
300625,26.98
300626,49.81
300627,228.27
300628,509.3
300629,45.11
300631,27.26
300632,55.12
300633,82.93
300634,88.21
300635,17.45
300636,29.19
300637,22.91
300638,168.43
300639,39.11
300640,21.65
300641,76.15
300642,30.57
300643,40.76
300644,23.02
300645,19.13
300647,34.3
300648,67.64
300649,33.06
300650,27.76
300651,24.03
300652,37.26
300653,27.13
